clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
428379;9622;Genesis 21:1;link;PQD ;qal;610703;W;Conj;;610704;JHWH ;Subj;;610705;PQD ;Pred;;610706;>T&#RH ;Objc;;;;;;;;;
430980;21475;Genesis 39:4;link;JPQDHW ;hif;618449;W;Conj;;618450;JPQDHW ;PreO;;618451;<L&BJTW ;Cmpl;;;;;;;;;;;;;
430984;21489;Genesis 39:5;link;HPQJD ;hif;618460;M>Z ;Conj;;618461;HPQJD ;Pred;;618462;>TW ;Objc;;618463;BBJTW W<L KL&;Cmpl;;;;;;;;;
431084;21964;Genesis 40:4;link;JPQD ;qal;618760;W;Conj;;618761;JPQD ;Pred;;618762;#R HVBXJM ;Subj;;618763;>T&JWSP ;Objc;;618764;>TM ;Cmpl;;;;;
431271;22958;Genesis 41:34;link;JPQD ;hif;619340;W;Conj;;619341;JPQD ;Pred;;619342;PQDJM ;Objc;;619343;<L&H>RY ;Cmpl;;;;;;;;;
432536;28698;Genesis 50:24;link;* PQD ;qal;623069;W;Conj;;623070;>LHJM ;Subj;;623071;PQD ;Modi;;623072;JPQD ;Pred;;623073;>TKM ;Objc;;;;;
432541;28729;Genesis 50:25;link;* PQD ;qal;623087;PQD ;Modi;;623088;JPQD ;Pred;;623089;>LHJM ;Subj;;623090;>TKM ;Objc;;;;;;;;;
432818;30001;Exodus 3:16;link;* PQD ;qal;623893;PQD ;Modi;;623894;PQDTJ ;Pred;;623895;>TKM ;Objc;;;;;;;;;;;;;
432996;30786;Exodus 4:31;link;PQD ;qal;624419;KJ&;Conj;;624420;PQD ;Pred;;624421;JHWH ;Subj;;624422;>T&BNJ J#R>L ;Objc;;;;;;;;;
433996;36160;Exodus 13:19;link;* PQD ;qal;627531;PQD ;Modi;;627532;* JPQD ;Pred;;627533;>LHJM ;Subj;;627534;>TKM ;Objc;;;;;;;;;
434717;39659;Exodus 20:5;link;PQD ;qal;629699;PQD ;PreC;;629700;<WN >BT ;Objc;;629701;<L&BNJM ;Cmpl;;;;;;;;;;;;;
435749;45706;Exodus 30:12;link;* PQDJHM ;qal;632988;KJ ;Conj;;632989;* T#> ;Pred;;632990;>T&R># BNJ&J#R>L ;Objc;;632991;* LPQDJHM ;Adju;;;;;;;;;
435752;45715;Exodus 30:12;link;PQD ;qal;632997;BPQD ;Pred;;632998;>TM ;Objc;;;;;;;;;;;;;;;;;
435754;45723;Exodus 30:12;link;PQD ;qal;633004;BPQD ;Pred;;633005;>TM00;Objc;;;;;;;;;;;;;;;;;
435756;45732;Exodus 30:13;link;* PQDJM ;qal;633009;H;Rela;;633010;* <BR ;PreC;;633011;* <L&HPQDJM ;Cmpl;;;;;;;;;;;;;
435760;45755;Exodus 30:14;link;* PQDJM ;qal;633018;H;Rela;;633019;* <BR ;PreC;;633020;* <L&HPQDJM ;Cmpl;;;;;;;;;;;;;
436070;47241;Exodus 32:34;link;* PQDJ ;qal;633879;W;Conj;;633880;BJWM PQDJ ;Frnt;PreS;;;;;;;;;;;;;;;;
436071;47243;Exodus 32:34;link;PQDTJ ;qal;633881;W;Conj;;633882;PQDTJ ;Pred;;633883;<LJHM ;Cmpl;;633884;XV>TM00;Objc;;;;;;;;;
436215;47918;Exodus 34:7;link;PQD ;qal;634310;PQD ;PreC;;634311;<WN >BWT ;Objc;;634312;<L&BNJM W<L&BNJ BNJM <L&#L#JM W<L&RB<JM00;Cmpl;;;;;;;;;;;;;
436653;50782;Exodus 38:21;link;PQWDJ ;qal;635636;>LH ;Subj;;635637;* PQWDJ HM#KN M#KN H<DT ;PreC;;;;;;;;;;;;;;;;;
436654;50789;Exodus 38:21;link;PQD ;pual;635638;>#R ;Rela;;635639;PQD ;Pred;;635640;<L&PJ M#H ;Cmpl;Adju;635641;<BDT HLWJM ;Subj;;635642;BJD >JTMR BN&>HRN HKHN00;Adju;;;;;
436661;50883;Exodus 38:25;link;* PQWDJ ;qal;635664;W;Conj;;635665;* KSP PQWDJ H<DH ;Subj;;635666;* M>T KKR W>LP W#B< M>WT WXM#H W#B<JM #QL ;PreC;;635667;B#QL HQD#00;Adju;BoundErr;;;;;;;;
436664;50919;Exodus 38:26;link;* PQDJM ;qal;635671;H;Rela;;635672;* <BR ;PreC;;635673;* <L&HPQDJM ;Cmpl;;635674;MBN <#RJM #NH WM<LH ;Adju;;;;;;;;;
437270;54816;Leviticus 5:23;link;HPQD ;hof;637626;>#R ;Rela;;637627;HPQD ;Pred;;637628;>TW ;Cmpl;;;;;;;;;;;;;
438802;63704;Leviticus 18:25;link;>PQD ;qal;642361;W;Conj;;642362;>PQD ;Pred;;642363;<WNH ;Objc;;642364;<LJH ;Cmpl;;;;;;;;;
439716;68386;Leviticus 26:16;link;HPQDTJ ;hif;645175;W;Conj;;645176;HPQDTJ ;Pred;;645177;<LJKM ;Cmpl;;645178;BHLH >T&H#XPT W>T&HQDXT ;Objc;;;;;;;;;
439957;69664;Numbers 1:3;link;TPQDW ;qal;645990;TPQDW ;Pred;;645991;>TM ;Objc;;645992;LYB>TM ;Cmpl;Adju;645993;>TH W>HRN00;Subj;;;;;;;;;
439983;69819;Numbers 1:19;link;JPQDM ;qal;646054;W;Conj;;646055;JPQDM ;PreO;;646056;BMDBR SJNJ00;Loca;;;;;;;;;;;;;
439985;69851;Numbers 1:21;link;* PQDJHM ;qal;646060;* PQDJHM LMVH R>WBN ;Subj;;646061;* ##H W>RB<JM >LP WXM# M>WT00;PreC;;;;;;;;;;;;;;;;;
439987;69871;Numbers 1:22;link;* PQDJW ;qal;646063;* TWLDTM LM#PXTM LBJT >BTM PQDJW BMSPR #MWT LGLGLTM KL&ZKR MBN <#RJM #NH WM<LH KL JY> YB>00;Subj;;;;;;;;;;;;;;;;;;;;;
439988;69888;Numbers 1:23;link;* PQDJHM ;qal;646064;* PQDJHM LMVH #M<WN ;Subj;;646065;* T#<H WXM#JM >LP W#L# M>WT00;PreC;;;;;;;;;;;;;;;;;
439991;69920;Numbers 1:25;link;* PQDJHM ;qal;646068;* PQDJHM LMVH GD ;Subj;;646069;* XM#H W>RB<JM >LP W## M>WT WXM#JM00;PreC;;;;;;;;;;;;;;;;;
439994;69954;Numbers 1:27;link;* PQDJHM ;qal;646072;* PQDJHM LMVH JHWDH ;Subj;;646073;* >RB<H W#B<JM >LP W## M>WT00;PreC;;;;;;;;;;;;;;;;;
439997;69986;Numbers 1:29;link;* PQDJHM ;qal;646076;* PQDJHM LMVH J##KR ;Subj;;646077;* >RB<H WXM#JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;;;;;
440000;70018;Numbers 1:31;link;* PQDJHM ;qal;646080;* PQDJHM LMVH ZBWLN ;Subj;;646081;* #B<H WXM#JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;;;;;
440004;70053;Numbers 1:33;link;* PQDJHM ;qal;646085;* PQDJHM LMVH >PRJM ;Subj;;646086;* >RB<JM >LP WXM# M>WT00;PreC;;;;;;;;;;;;;;;;;
440007;70083;Numbers 1:35;link;* PQDJHM ;qal;646089;* PQDJHM LMVH MN#H ;Subj;;646090;* #NJM W#L#JM >LP WM>TJM00;PreC;;;;;;;;;;;;;;;;;
440010;70114;Numbers 1:37;link;* PQDJHM ;qal;646093;* PQDJHM LMVH BNJMN ;Subj;;646094;* XM#H W#L#JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;;;;;
440013;70146;Numbers 1:39;link;* PQDJHM ;qal;646097;* PQDJHM LMVH DN ;Subj;;646098;* #NJM W##JM >LP W#B< M>WT00;PreC;;;;;;;;;;;;;;;;;
440016;70178;Numbers 1:41;link;* PQDJHM ;qal;646101;* PQDJHM LMVH >#R ;Subj;;646102;* >XD W>RB<JM >LP WXM# M>WT00;PreC;;;;;;;;;;;;;;;;;
440019;70209;Numbers 1:43;link;* PQDJHM ;qal;646105;* PQDJHM LMVH NPTLJ ;Subj;;646106;* #L#H WXM#JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;;;;;
440020;70222;Numbers 1:44;link;PQDJM ;qal;646107;>LH ;Subj;;646108;HPQDJM ;PreC;;;;;;;;;;;;;;;;;
440021;70224;Numbers 1:44;link;PQD ;qal;646109;>#R ;Rela;;646110;PQD ;Pred;;646111;M#H W>HRN WN#J>J J#R>L #NJM <#R >J# ;Subj;BoundErr;;;;;;;;;;;;
440023;70243;Numbers 1:45;link;* PQWDJ ;qal;646115;W;Conj;;646116;* JHJW ;Pred;;646117;KL&PQWDJ BNJ&J#R>L LBJT >BTM MBN <#RJM #NH WM<LH KL&;Subj;;;;;;;;;;;;;
440025;70264;Numbers 1:46;link;* PQDJM ;qal;646121;W;Conj;;646122;* JHJW ;Pred;;646123;* KL&HPQDJM ;Subj;;646124;* ##&M>WT >LP W#L#T >LPJM WXM# M>WT WXM#JM00;PreC;;;;;;;;;
440026;70283;Numbers 1:47;link;HTPQDW ;hotp;646125;W;Conj;;646126;HLWJM LMVH >BTM ;Subj;BoundErr;646127;L> ;Nega;;646128;HTPQDW ;Pred;;646129;BTWKM00;Cmpl;;;;;
440029;70298;Numbers 1:49;link;TPQD ;qal;646135;>K >T&MVH LWJ ;Objc;;646136;L> ;Nega;;646137;TPQD ;Pred;;;;;;;;;;;;;
440031;70310;Numbers 1:50;link;HPQD ;hif;646143;W;Conj;;646144;>TH ;Subj;;646145;HPQD ;Pred;;646146;>T&HLWJM ;Objc;;646147;<L&M#KN H<DT W<L KL&KLJW W<L KL&;Cmpl;;;;;
440059;70470;Numbers 2:4;link;* PQDJHM ;qal;646228;W;Conj;;646229;* YB>W WPQDJHM ;Subj;;646230;* >RB<H W#B<JM >LP W## M>WT00;PreC;;;;;;;;;;;;;
440063;70495;Numbers 2:6;link;* PQDJW ;qal;646239;W;Conj;;646240;* YB>W WPQDJW ;Subj;;646241;* >RB<H WXM#JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;
440066;70516;Numbers 2:8;link;* PQDJW ;qal;646246;W;Conj;;646247;* YB>W WPQDJW ;Subj;;646248;* #B<H WXM#JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;
440067;70526;Numbers 2:9;link;* PQDJM ;qal;646249;* KL&HPQDJM LMXNH JHWDH ;Subj;;646250;* M>T >LP W#MNJM >LP W##T&>LPJM W>RB<&M>WT ;PreC;;646251;LYB>TM ;Adju;;;;;;;;;;;;;
440071;70562;Numbers 2:11;link;* PQDJW ;qal;646260;W;Conj;;646261;* YB>W WPQDJW ;Subj;;646262;* ##H W>RB<JM >LP WXM# M>WT00;PreC;;;;;;;;;;;;;
440075;70587;Numbers 2:13;link;* PQDJHM ;qal;646271;W;Conj;;646272;* YB>W WPQDJHM ;Subj;;646273;* T#<H WXM#JM >LP W#L# M>WT00;PreC;;;;;;;;;;;;;
440078;70609;Numbers 2:15;link;* PQDJHM ;qal;646279;W;Conj;;646280;* YB>W WPQDJHM ;Subj;;646281;* XM#H W>RB<JM >LP W## M>WT WXM#JM00;PreC;;;;;;;;;;;;;
440079;70621;Numbers 2:16;link;* PQDJM ;qal;646282;* KL&HPQDJM LMXNH R>WBN ;Subj;;646283;* M>T >LP W>XD WXM#JM >LP W>RB<&M>WT WXM#JM ;PreC;;646284;LYB>TM ;Adju;;;;;;;;;;;;;
440087;70680;Numbers 2:19;link;* PQDJHM ;qal;646304;W;Conj;;646305;* YB>W WPQDJHM ;Subj;;646306;* >RB<JM >LP WXM# M>WT00;PreC;;;;;;;;;;;;;
440090;70701;Numbers 2:21;link;* PQDJHM ;qal;646313;W;Conj;;646314;* YB>W WPQDJHM ;Subj;;646315;* #NJM W#L#JM >LP WM>TJM00;PreC;;;;;;;;;;;;;
440093;70722;Numbers 2:23;link;* PQDJHM ;qal;646321;W;Conj;;646322;* YB>W WPQDJHM ;Subj;;646323;* XM#H W#L#JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;
440094;70732;Numbers 2:24;link;* PQDJM ;qal;646324;* KL&HPQDJM LMXNH >PRJM ;Subj;;646325;* M>T >LP W#MNT&>LPJM WM>H ;PreC;;646326;LYB>TM ;Adju;;;;;;;;;;;;;
440098;70765;Numbers 2:26;link;* PQDJHM ;qal;646336;W;Conj;;646337;* YB>W WPQDJHM ;Subj;;646338;* #NJM W##JM >LP W#B< M>WT00;PreC;;;;;;;;;;;;;
440102;70790;Numbers 2:28;link;* PQDJHM ;qal;646347;W;Conj;;646348;* YB>W WPQDJHM ;Subj;;646349;* >XD W>RB<JM >LP WXM# M>WT00;PreC;;;;;;;;;;;;;
440105;70812;Numbers 2:30;link;* PQDJHM ;qal;646355;W;Conj;;646356;* YB>W WPQDJHM ;Subj;;646357;* #L#H WXM#JM >LP W>RB< M>WT00;PreC;;;;;;;;;;;;;
